seed,bad_source_gamma,method,normalized_performance,target_performance,oracle_performance,bad_source_weight,actual_bad_source_gamma,bad_source_mixing_coefficient,bad_source_nominal_transfer_performance,bad_source_local_gamma_max,bad_source_local_gamma_mean,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_type,prescribed_source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,uniform_weight,similarity_weight
4,1.8,Similarity-aware,0.9964306523303715,16.726499395945442,16.78641595060013,0.029411960783929263,1.8,0.8999999999999998,15.051281332938764,1.8,1.6869136654925512,state_action_local,1,inf,1,0.01,,,,,,,,
4,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.10000000000000012,0.10000000000000012,0.09385683836445553,0.25,0.5294102941273933
4,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.1872784492623078,0.25,0.2647064705828143
4,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2847713894326048,0.25,0.1764712745058632
4,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.8,1.8,1.8,1.6869136654925512,0.25,0.029411960783929263
5,0.9,Uniform,0.994471118853152,16.89950411530015,16.993458929997953,0.25,0.9,0.4499999999999999,16.28896426018364,0.9,0.849659639823749,state_action_local,1,inf,1,0.01,,,,,,,,
5,0.9,Similarity-aware,0.9989519973758693,16.975649740446258,16.993458929997953,0.057143197277965664,0.9,0.4499999999999999,16.28896426018364,0.9,0.849659639823749,state_action_local,1,inf,1,0.01,,,,,,,,
5,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.10000000000000012,0.10000000000000012,0.09382263065935244,0.25,0.5142842040916229
5,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18877093572133566,0.25,0.25714338774989315
5,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2860554498168586,0.25,0.17142921088051835
5,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,0.9,0.9,0.9,0.849659639823749,0.25,0.057143197277965664
5,1.2,Uniform,0.9869007183291941,16.770856824912638,16.993458929997953,0.25,1.2,0.5999999999999999,15.8738538343576,1.2,1.1498084470627579,state_action_local,1,inf,1,0.01,,,,,,,,
5,1.2,Similarity-aware,0.9989519973758693,16.975649740446258,16.993458929997953,0.04347853497099396,1.2,0.5999999999999999,15.8738538343576,1.2,1.1498084470627579,state_action_local,1,inf,1,0.01,,,,,,,,
5,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.10000000000000012,0.10000000000000012,0.09382263065935244,0.25,0.5217376370609066
5,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18877093572133566,0.25,0.26087012286802425
5,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2860554498168586,0.25,0.1739137051000754
5,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.2,1.2,1.2,1.1498084470627579,0.25,0.04347853497099396
5,1.5,Uniform,0.9979210977231123,16.958131189536182,16.993458929997953,0.25,1.5,0.7499999999999999,14.602016488838387,1.5,1.4370696248105188,state_action_local,1,inf,1,0.01,,,,,,,,
5,1.5,Similarity-aware,0.9989519973758693,16.975649740446258,16.993458929997953,0.03508794808610418,1.5,0.7499999999999999,14.602016488838387,1.5,1.4370696248105188,state_action_local,1,inf,1,0.01,,,,,,,,
5,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.10000000000000012,0.10000000000000012,0.09382263065935244,0.25,0.5263143090279532
5,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18877093572133566,0.25,0.26315847029317024
