run_id,source_domain_seed,iteration,method,noise_level,signed_selection_bias,positive_selection_bias,selection_bias_inf_norm,max_positive_selection_bias,min_signed_selection_bias,signed_selection_bias_percent,positive_selection_bias_percent,selection_bias_inf_norm_percent,max_positive_selection_bias_percent,min_signed_selection_bias_percent,oracle_performance,num_noise_trajectories,sync_period,stepsize,discount,selection_bias_definition,noise_location,aggregation_is_written_back,map_name,target_domain,source_randomness,bellman_noise_seed,source_domain_base_seed,bellman_noise_base_seed,uncertainty_distance,robust_backup_type,source_index,perturb_epsilon,empirical_gamma_l1,mean_local_l1_radius,similarity_weight
0,2026,110,Maximum-based,0.008,0.0024971512563895554,0.0024971512563895554,0.004265884016419114,0.004265884016419114,4.833307378770968e-05,0.6022450987523783,0.6022450987523783,1.0288154288455087,1.0288154288455087,0.011656625413380367,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,115,Maximum-based,0.008,0.00248042287922988,0.00248042287922988,0.003940043049503711,0.003940043049503711,3.350150000724916e-05,0.5982106682673536,0.5982106682673536,0.9502314324634633,0.9502314324634633,0.008079652415364583,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,120,Maximum-based,0.008,0.002457046263014409,0.002457046263014409,0.004051442682541345,0.004051442682541345,3.464283191556561e-05,0.5925728629861718,0.5925728629861718,0.9770980000484517,0.9770980000484517,0.008354910690599014,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,125,Maximum-based,0.008,0.002439548799710177,0.002439548799710177,0.003939720897513044,0.003939720897513044,4.6823849320198896e-05,0.5883529497996519,0.5883529497996519,0.9501537381480163,0.9501537381480163,0.01129264143918183,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,130,Maximum-based,0.008,0.0024693694099885014,0.0024693694099885014,0.003992165449659774,0.003992165449659774,9.983264446788986e-06,0.5955448715288513,0.5955448715288513,0.9628019405369647,0.9628019405369647,0.002407692392378498,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,135,Maximum-based,0.008,0.0024547986017973843,0.0024547986017973843,0.004117552687818826,0.004117552687818826,1.630059762414149e-05,0.5920307881125954,0.5920307881125954,0.993041938788639,0.993041938788639,0.0039312616729783026,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,140,Maximum-based,0.008,0.002433530467140633,0.002433530467140633,0.004134743302819405,0.004134743302819405,1.3843861415896441e-05,0.5869014913493896,0.5869014913493896,0.9971878484936066,0.9971878484936066,0.0033387635867861737,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,145,Maximum-based,0.008,0.0024307374403783914,0.0024307374403783914,0.004112573947865489,0.004112573947865489,3.809102679719345e-06,0.5862278891100617,0.5862278891100617,0.9918412018580314,0.9918412018580314,0.0009186521696015597,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,150,Maximum-based,0.008,0.002404750817872898,0.002404750817872898,0.0041682348993066776,0.0041682348993066776,1.8323648349971577e-05,0.5799606211594254,0.5799606211594254,1.0052651124487804,1.0052651124487804,0.004419166593051173,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,155,Maximum-based,0.008,0.002404106791523513,0.002404106791523513,0.00422030712819646,0.00422030712819646,4.4339916231206367e-05,0.5798052994858215,0.5798052994858215,1.0178235205747364,1.0178235205747364,0.01069358420360313,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,160,Maximum-based,0.008,0.002437201693674335,0.002437201693674335,0.0042528610385515475,0.0042528610385515475,0.0,0.5877868915351709,0.5877868915351709,1.025674640087986,1.025674640087986,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,165,Maximum-based,0.008,0.002397833228525363,0.002397833228525363,0.003961701315559396,0.003961701315559396,3.765642608966058e-05,0.5782922863843192,0.5782922863843192,0.9554548183301128,0.9554548183301128,0.00908170780244136,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,170,Maximum-based,0.008,0.002420498336845693,0.002420498336845693,0.004151630932634154,0.004151630932634154,2.3157165167653204e-05,0.5837584952748235,0.5837584952748235,1.001260686396178,1.001260686396178,0.005584879645369315,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,175,Maximum-based,0.008,0.0024225254520507124,0.0024225254520507124,0.004228607018894853,0.004228607018894853,0.0,0.584247380436948,0.584247380436948,1.0198252289135876,1.0198252289135876,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,180,Maximum-based,0.008,0.0023855216564642283,0.0023855216564642283,0.003875496337665346,0.003875496337665346,7.662136183861357e-06,0.5753230693964484,0.5753230693964484,0.9346645176657427,0.9346645176657427,0.0018478992615671556,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,185,Maximum-based,0.008,0.0024122465449260334,0.0024122465449260334,0.00420638661998976,0.00420638661998976,0.0,0.5817683870557785,0.5817683870557785,1.0144662718625586,1.0144662718625586,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,190,Maximum-based,0.008,0.002389988070404013,0.002389988070404013,0.004221320303546633,0.004221320303546633,0.0,0.5764002471994957,0.5764002471994957,1.018067870966911,1.018067870966911,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,195,Maximum-based,0.008,0.002421646311462156,0.002421646311462156,0.004031999398037944,0.004031999398037944,0.0,0.5840353555909489,0.5840353555909489,0.9724088076073213,0.9724088076073213,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,200,Maximum-based,0.008,0.002389327652880824,0.002389327652880824,0.004352662789037398,0.004352662789037398,0.0,0.576240972419703,0.576240972419703,1.0497441132219092,1.0497441132219092,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,205,Maximum-based,0.008,0.0024123334731315726,0.0024123334731315726,0.0041515288581475684,0.0041515288581475684,1.347760675218801e-05,0.5817893517793191,0.5817893517793191,1.0012360688007895,1.0012360688007895,0.003250432903753174,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,210,Maximum-based,0.008,0.002379676432165124,0.002379676432165124,0.00400804872630639,0.00400804872630639,8.824949738306387e-06,0.5739133599620532,0.5739133599620532,0.9666325557181944,0.9666325557181944,0.0021283383267361035,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,215,Maximum-based,0.008,0.00242008758897375,0.00242008758897375,0.004125865518875005,0.004125865518875005,0.0,0.5836594340377168,0.5836594340377168,0.9950467679905266,0.9950467679905266,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,220,Maximum-based,0.008,0.0024001371227791776,0.0024001371227791776,0.0042913989819916565,0.0042913989819916565,0.0,0.5788479231399436,0.5788479231399436,1.0349689459468783,1.0349689459468783,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,225,Maximum-based,0.008,0.002384376571027097,0.002384376571027097,0.004005157105569035,0.004005157105569035,1.5871516290899557e-05,0.575046905871952,0.575046905871952,0.9659351752883678,0.9659351752883678,0.003827778902661575,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,230,Maximum-based,0.008,0.0024085510408463785,0.0024085510408463785,0.004468862403845031,0.004468862403845031,0.0,0.5808771317849186,0.5808771317849186,1.0777683061160117,1.0777683061160117,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,235,Maximum-based,0.008,0.0024295801680082017,0.0024295801680082017,0.004249606274522533,0.004249606274522533,0.0,0.5859487864281218,0.5859487864281218,1.0248896793536073,1.0248896793536073,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,240,Maximum-based,0.008,0.0023835525312126595,0.0023835525312126595,0.004055921972785204,0.004055921972785204,0.0,0.5748481698369794,0.5748481698369794,0.9781782832665189,0.9781782832665189,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
