run_id,good_source_seed,bad_source_seed,bad_source_epsilon,bad_source_empirical_gamma_l1,bad_source_mean_local_l1_radius,bad_source_similarity_weight,bad_source_uniform_weight,method,final_iteration,final_target_performance,final_normalized_performance,final_policy_error_rate,oracle_performance
6,2032,9028,0.3,0.9680628054788636,0.3451467462668075,0.011450960646085102,0.25,Uniform,500,0.4019343604608407,0.9693565737691591,0.078125,0.4146403617999878
6,2032,9029,0.4,1.3333333333333335,0.450833777429902,0.008340102248999174,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.078125,0.4146403617999878
6,2032,9029,0.4,1.3333333333333335,0.450833777429902,0.008340102248999174,0.25,Uniform,500,0.3680775686236303,0.887703182164359,0.109375,0.4146403617999878
7,2033,10026,0.1,0.2448341523930082,0.09309604886892227,0.04384470933642674,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.078125,0.4146403617999878
7,2033,10026,0.1,0.2448341523930082,0.09309604886892227,0.04384470933642674,0.25,Uniform,500,0.4144956961647513,0.9996511057567852,0.09375,0.4146403617999878
7,2033,10027,0.2,0.5846868845076516,0.20579840411919104,0.018839888326163987,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
7,2033,10027,0.2,0.5846868845076516,0.20579840411919104,0.018839888326163987,0.25,Uniform,500,0.4118492293648138,0.9932685462094006,0.078125,0.4146403617999878
7,2033,10028,0.3,0.9252097737284233,0.3179742326846371,0.011989018363691945,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
7,2033,10028,0.3,0.9252097737284233,0.3179742326846371,0.011989018363691945,0.25,Uniform,500,0.38906117663656065,0.9383099487652726,0.109375,0.4146403617999878
7,2033,10029,0.4,1.3333333333333335,0.4340864967899808,0.008349912551867397,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.0625,0.4146403617999878
7,2033,10029,0.4,1.3333333333333335,0.4340864967899808,0.008349912551867397,0.25,Uniform,500,0.4027002465944821,0.9712036832264166,0.109375,0.4146403617999878
8,2034,11026,0.1,0.2556966584771148,0.09559569373624374,0.04320551898596527,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.09375,0.4146403617999878
8,2034,11026,0.1,0.2556966584771148,0.09559569373624374,0.04320551898596527,0.25,Uniform,500,0.4144956961647513,0.9996511057567852,0.09375,0.4146403617999878
8,2034,11027,0.2,0.5642943045866693,0.20916114784165488,0.02005137625828679,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
8,2034,11027,0.2,0.5642943045866693,0.20916114784165488,0.02005137625828679,0.25,Uniform,500,0.40719093832971137,0.9820340127093805,0.03125,0.4146403617999878
8,2034,11028,0.3,0.94717733007335,0.3242282821452346,0.012043518305485284,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.09375,0.4146403617999878
8,2034,11028,0.3,0.94717733007335,0.3242282821452346,0.012043518305485284,0.25,Uniform,500,0.411992889653611,0.9936150158299016,0.078125,0.4146403617999878
8,2034,11029,0.4,1.3333333333333335,0.4012530473240648,0.008585459376664292,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.078125,0.4146403617999878
8,2034,11029,0.4,1.3333333333333335,0.4012530473240648,0.008585459376664292,0.25,Uniform,500,0.3818979921239256,0.9210342921419302,0.140625,0.4146403617999878
9,2035,12026,0.1,0.23907274107190385,0.10431715849472323,0.04351033022305711,0.25,Similarity-aware,500,0.4146187118521112,0.9999477862025234,0.0625,0.4146403617999878
9,2035,12026,0.1,0.23907274107190385,0.10431715849472323,0.04351033022305711,0.25,Uniform,500,0.4146187118521112,0.9999477862025234,0.078125,0.4146403617999878
9,2035,12027,0.2,0.6000663653353241,0.19571545783377525,0.017800961839235734,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.046875,0.4146403617999878
9,2035,12027,0.2,0.6000663653353241,0.19571545783377525,0.017800961839235734,0.25,Uniform,500,0.4146403617999878,1.0,0.03125,0.4146403617999878
9,2035,12028,0.3,0.9709026038240357,0.3106357346495972,0.011077206373432642,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.046875,0.4146403617999878
9,2035,12028,0.3,0.9709026038240357,0.3106357346495972,0.011077206373432642,0.25,Uniform,500,0.4145951885884753,0.9998910544759406,0.078125,0.4146403617999878
9,2035,12029,0.4,1.3333333333333335,0.4435355995556202,0.008090529531264112,0.25,Similarity-aware,500,0.4146187118521112,0.9999477862025234,0.0625,0.4146403617999878
9,2035,12029,0.4,1.3333333333333335,0.4435355995556202,0.008090529531264112,0.25,Uniform,500,0.3965486131487076,0.9563676131943778,0.125,0.4146403617999878
