seed,iteration,method,target_performance,normalized_performance,oracle_performance,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,mixing_coefficient,uniform_weight,similarity_weight
0,160,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,165,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,170,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,175,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,180,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,185,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,190,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,195,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,200,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,1,Similarity-aware,15.206491764431284,0.9715212589508011,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,5,Similarity-aware,15.206491764431284,0.9715212589508011,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,10,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,15,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,20,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,25,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,30,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,35,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,40,Similarity-aware,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
